00	00	00	xx
00	00	01	xx
00	00	10	xx
00	00	11	xx
00	01	00	xx
00	01	01	xx
00	01	10	xx
00	01	11	xx
00	10	00	xx
00	10	01	xx
00	10	10	xx
00	10	11	xx
00	11	00	xx
00	11	01	xx
00	11	10	xx
00	11	11	xx
01	00	00	xx
01	00	01	xx
01	00	10	xx
01	00	11	xx
01	01	00	xx
01	01	01	xx
01	01	10	xx
01	01	11	xx
01	10	00	xx
01	10	01	xx
01	10	10	xx
01	10	11	xx
01	11	00	xx
01	11	01	xx
01	11	10	xx
01	11	11	xx
10	00	00	xx
10	00	01	xx
10	00	10	xx
10	00	11	xx
10	01	00	xx
10	01	01	xx
10	01	10	xx
10	01	11	xx
10	10	00	xx
10	10	01	xx
10	10	10	xx
10	10	11	xx
10	11	00	xx
10	11	01	xx
10	11	10	xx
10	11	11	xx
11	00	00	xx
11	00	01	xx
11	00	10	xx
11	00	11	xx
11	01	00	xx
11	01	01	xx
11	01	10	xx
11	01	11	xx
11	10	00	xx
11	10	01	xx
11	10	10	xx
11	10	11	xx
11	11	00	xx
11	11	01	xx
11	11	10	xx
11	11	11	xx
